,shot_noise,shot_noise,shot_noise,shot_noise,shot_noise,motion_blur,motion_blur,motion_blur,motion_blur,motion_blur,snow,snow,snow,snow,snow,pixelate,pixelate,pixelate,pixelate,pixelate,gaussian_noise,gaussian_noise,gaussian_noise,gaussian_noise,gaussian_noise,defocus_blur,defocus_blur,defocus_blur,defocus_blur,defocus_blur,brightness,brightness,brightness,brightness,brightness,fog,fog,fog,fog,fog,zoom_blur,zoom_blur,zoom_blur,zoom_blur,zoom_blur,frost,frost,frost,frost,frost,glass_blur,glass_blur,glass_blur,glass_blur,glass_blur,impulse_noise,impulse_noise,impulse_noise,impulse_noise,impulse_noise,contrast,contrast,contrast,contrast,contrast,jpeg_compression,jpeg_compression,jpeg_compression,jpeg_compression,jpeg_compression,elastic_transform,elastic_transform,elastic_transform,elastic_transform,elastic_transform
,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5
AlexNet,0.2944,0.1598,0.0726,0.0196,0.012,0.4174,0.295,0.1794,0.1022,0.0698,0.2788,0.114,0.132,0.085,0.0502,0.4754,0.4502,0.267,0.1288,0.0858,0.311,0.1814,0.0724,0.0214,0.0058,0.3404,0.262,0.1502,0.085,0.0522,0.5504,0.514,0.464,0.3886,0.2906,0.3154,0.2324,0.157,0.1214,0.0556,0.3028,0.2308,0.1936,0.163,0.1312,0.3788,0.1976,0.1052,0.0994,0.0616,0.3486,0.2412,0.1126,0.08,0.0636,0.2234,0.1154,0.0556,0.014,0.0054,0.3496,0.2334,0.1094,0.0266,0.0094,0.4858,0.4522,0.4228,0.3488,0.2564,0.471,0.3022,0.44,0.3568,0.1898
Standard_R50,0.5828,0.4486,0.2856,0.1026,0.0352,0.636,0.5342,0.3754,0.2158,0.1452,0.5468,0.312,0.3494,0.2344,0.165,0.638,0.6434,0.4598,0.293,0.2088,0.602,0.4878,0.3124,0.1422,0.0288,0.5914,0.5154,0.3808,0.2752,0.1824,0.736,0.7222,0.6958,0.6496,0.5886,0.6092,0.56,0.4674,0.4024,0.236,0.5258,0.4302,0.356,0.2844,0.2194,0.6106,0.4366,0.3064,0.2864,0.2258,0.5362,0.3974,0.1708,0.1306,0.1034,0.4854,0.3862,0.2904,0.113,0.0244,0.6428,0.5824,0.466,0.2098,0.0542,0.6644,0.6234,0.6004,0.4786,0.3254,0.6684,0.4514,0.5456,0.4122,0.1702
Salman2020Do_50_2_Linf,0.5782,0.4284,0.2568,0.093,0.0332,0.581,0.4854,0.3588,0.228,0.1668,0.548,0.3856,0.3734,0.2464,0.2324,0.6594,0.6526,0.6252,0.5742,0.5386,0.596,0.467,0.2666,0.102,0.0218,0.4592,0.3732,0.2388,0.156,0.1016,0.6784,0.6574,0.615,0.5476,0.4508,0.2386,0.1006,0.0374,0.0296,0.0102,0.52,0.4548,0.3778,0.3338,0.2704,0.5898,0.4248,0.2796,0.253,0.181,0.5556,0.4664,0.378,0.3006,0.1876,0.3978,0.2542,0.163,0.0558,0.0162,0.3448,0.1498,0.0256,0.0054,0.0054,0.6634,0.6534,0.6528,0.637,0.6158,0.5858,0.4054,0.6224,0.5854,0.4636
Hendrycks2020AugMix,0.6722,0.598,0.5022,0.316,0.1924,0.7148,0.6734,0.5778,0.4192,0.2966,0.606,0.41,0.4256,0.3014,0.2316,0.6986,0.6836,0.5978,0.4764,0.4212,0.672,0.61,0.5022,0.3368,0.1188,0.645,0.6066,0.5068,0.3854,0.259,0.747,0.73,0.706,0.6676,0.6086,0.6362,0.5834,0.4804,0.4162,0.242,0.6198,0.5524,0.5162,0.4328,0.3558,0.6424,0.487,0.3672,0.3478,0.2776,0.6048,0.4826,0.2686,0.2266,0.174,0.6452,0.576,0.5096,0.327,0.1274,0.7064,0.6764,0.6094,0.4174,0.156,0.679,0.6496,0.6312,0.568,0.4844,0.6938,0.4798,0.6232,0.519,0.2872
Hendrycks2020Many,0.7214,0.6836,0.615,0.4678,0.3526,0.7036,0.6468,0.5154,0.3316,0.217,0.6054,0.4534,0.4612,0.3528,0.2968,0.7502,0.7478,0.72,0.6342,0.429,0.7208,0.6972,0.6324,0.519,0.3698,0.6852,0.6442,0.5272,0.4146,0.2998,0.7496,0.7406,0.72,0.6944,0.6542,0.644,0.5876,0.5176,0.4806,0.3404,0.5752,0.4704,0.3882,0.318,0.2386,0.6632,0.548,0.4544,0.428,0.3672,0.6684,0.5746,0.3142,0.2618,0.1846,0.7078,0.6722,0.6378,0.5308,0.41,0.6976,0.6548,0.5708,0.353,0.125,0.7036,0.6768,0.661,0.555,0.3822,0.697,0.4692,0.6174,0.5062,0.2508
Geirhos2018_SIN,0.5042,0.4426,0.3854,0.283,0.217,0.5212,0.454,0.3694,0.2834,0.2366,0.4846,0.3848,0.3984,0.3352,0.3188,0.5758,0.5778,0.4888,0.3994,0.3632,0.5284,0.4818,0.408,0.3224,0.2142,0.4088,0.3314,0.26,0.1978,0.1446,0.5988,0.5766,0.56,0.543,0.515,0.5408,0.505,0.4576,0.4322,0.3664,0.3854,0.317,0.3014,0.2412,0.184,0.5084,0.4156,0.3542,0.3384,0.298,0.4946,0.4026,0.2446,0.204,0.1558,0.4592,0.4088,0.3688,0.2874,0.21,0.5634,0.5424,0.504,0.4106,0.2592,0.5508,0.5158,0.4868,0.4086,0.3196,0.5322,0.3534,0.56,0.5292,0.4118
Geirhos2018_SIN_IN,0.6392,0.5684,0.4624,0.2844,0.1682,0.6492,0.577,0.469,0.3306,0.2502,0.5802,0.3912,0.4454,0.3398,0.2724,0.6784,0.6694,0.5766,0.4694,0.4038,0.64,0.5866,0.4746,0.3218,0.143,0.589,0.5388,0.4402,0.3386,0.2514,0.7276,0.7154,0.6932,0.6596,0.6046,0.6126,0.5638,0.4722,0.4144,0.276,0.5174,0.4262,0.3678,0.3016,0.2314,0.6076,0.4602,0.3524,0.3316,0.2764,0.5698,0.465,0.244,0.2008,0.153,0.5762,0.5148,0.4496,0.2868,0.1352,0.6472,0.6072,0.5124,0.3136,0.1008,0.661,0.6368,0.6192,0.5494,0.4386,0.6522,0.4462,0.6046,0.5074,0.2658
Geirhos2018_SIN_IN_IN,0.612,0.4942,0.3372,0.1458,0.0652,0.6636,0.5654,0.4164,0.2608,0.1764,0.568,0.3294,0.3798,0.2686,0.199,0.648,0.6402,0.4764,0.3282,0.2422,0.6242,0.5174,0.3514,0.1798,0.0546,0.601,0.54,0.4176,0.3002,0.2076,0.7512,0.7324,0.7086,0.6602,0.6026,0.6246,0.5612,0.4662,0.3968,0.229,0.5284,0.428,0.362,0.285,0.2236,0.6242,0.4478,0.333,0.3152,0.2568,0.5638,0.423,0.2024,0.1546,0.1138,0.5448,0.4388,0.3444,0.1536,0.0512,0.6612,0.612,0.505,0.267,0.0778,0.6708,0.6364,0.601,0.5198,0.3894,0.6792,0.4674,0.5894,0.471,0.2174
Erichson2022NoisyMix,0.684,0.6346,0.5756,0.4416,0.3308,0.705,0.6508,0.549,0.409,0.306,0.636,0.4572,0.4844,0.3702,0.286,0.6928,0.6668,0.5746,0.4176,0.3186,0.6888,0.6524,0.5758,0.4706,0.3082,0.64,0.5834,0.4718,0.3758,0.2696,0.7558,0.7436,0.7204,0.6834,0.6336,0.663,0.6184,0.5394,0.4888,0.332,0.6008,0.5282,0.493,0.418,0.3416,0.6864,0.5784,0.4826,0.4676,0.399,0.6184,0.5116,0.2936,0.2488,0.2026,0.6626,0.6144,0.5794,0.4674,0.3222,0.7108,0.6862,0.6204,0.4294,0.176,0.6978,0.6744,0.6582,0.6122,0.5306,0.6946,0.4914,0.622,0.5188,0.3074
