,near_focus,near_focus,near_focus,near_focus,near_focus,far_focus,far_focus,far_focus,far_focus,far_focus,bit_error,bit_error,bit_error,bit_error,bit_error,color_quant,color_quant,color_quant,color_quant,color_quant,flash,flash,flash,flash,flash,fog_3d,fog_3d,fog_3d,fog_3d,fog_3d,h265_abr,h265_abr,h265_abr,h265_abr,h265_abr,h265_crf,h265_crf,h265_crf,h265_crf,h265_crf,iso_noise,iso_noise,iso_noise,iso_noise,iso_noise,low_light,low_light,low_light,low_light,low_light,xy_motion_blur,xy_motion_blur,xy_motion_blur,xy_motion_blur,xy_motion_blur,z_motion_blur,z_motion_blur,z_motion_blur,z_motion_blur,z_motion_blur
,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5
AlexNet,0.4616,0.4192,0.3822,0.3554,0.3282,0.4722,0.3902,0.3314,0.29,0.2586,0.4432,0.4,0.3272,0.263,0.1498,0.551,0.5388,0.5018,0.3306,0.0968,0.2858,0.248,0.2082,0.156,0.0958,0.4374,0.2808,0.1852,0.1328,0.096,0.498,0.4836,0.4494,0.3626,0.3694,0.5028,0.5012,0.4886,0.4496,0.4318,0.1308,0.1052,0.0658,0.0286,0.012,0.2832,0.2364,0.1874,0.1246,0.056,0.3028,0.209,0.153,0.1156,0.0954,0.2792,0.2308,0.193,0.166,0.1516
Standard_R50,0.667,0.6298,0.5892,0.559,0.523,0.6708,0.6064,0.5372,0.4888,0.4456,0.6338,0.5696,0.4886,0.4026,0.2476,0.73,0.7176,0.6776,0.5074,0.1854,0.4924,0.4532,0.3976,0.3312,0.2196,0.6542,0.5176,0.4016,0.3128,0.2526,0.7064,0.6964,0.6464,0.514,0.5216,0.7078,0.7064,0.6888,0.655,0.6248,0.406,0.37,0.2896,0.19,0.0804,0.555,0.519,0.4644,0.399,0.2828,0.5112,0.3934,0.2972,0.2292,0.179,0.476,0.3978,0.328,0.276,0.2492
Salman2020Do_50_2_Linf,0.5948,0.5582,0.5218,0.4836,0.4566,0.6228,0.5466,0.4804,0.43,0.3894,0.5582,0.5026,0.4246,0.35,0.2082,0.677,0.6726,0.6678,0.6104,0.2868,0.4746,0.4398,0.3866,0.3166,0.2284,0.4906,0.2892,0.1792,0.1256,0.0898,0.629,0.6228,0.6024,0.5556,0.5624,0.6304,0.629,0.6252,0.6066,0.5974,0.3858,0.3404,0.2534,0.152,0.0558,0.4396,0.3548,0.2422,0.1128,0.017,0.4758,0.376,0.3014,0.2424,0.1948,0.4978,0.45,0.4074,0.358,0.3338
Hendrycks2020AugMix,0.6908,0.6654,0.6382,0.605,0.5812,0.6918,0.6334,0.574,0.5206,0.4754,0.6674,0.599,0.509,0.4256,0.2552,0.743,0.7372,0.7076,0.5942,0.3334,0.5232,0.4878,0.4322,0.3628,0.2646,0.689,0.5696,0.4594,0.3698,0.294,0.743,0.7284,0.693,0.57,0.578,0.7444,0.7424,0.7334,0.6952,0.6716,0.5688,0.546,0.496,0.4108,0.2572,0.6028,0.5732,0.5358,0.4738,0.3584,0.6112,0.5228,0.4248,0.3402,0.269,0.5494,0.4774,0.4094,0.3484,0.314
Hendrycks2020Many,0.7082,0.6934,0.6668,0.635,0.6054,0.7122,0.655,0.6012,0.543,0.5028,0.675,0.6108,0.5214,0.4394,0.273,0.7484,0.7428,0.7186,0.628,0.3702,0.5892,0.552,0.5152,0.451,0.3584,0.7038,0.599,0.4798,0.386,0.3196,0.75,0.7394,0.7116,0.5946,0.6002,0.751,0.7522,0.7416,0.7122,0.6944,0.6628,0.6518,0.6238,0.5586,0.4478,0.6602,0.6438,0.6086,0.5522,0.4492,0.6138,0.509,0.4022,0.3146,0.247,0.5314,0.442,0.3646,0.301,0.2726
Geirhos2018_SIN,0.508,0.4594,0.4222,0.3916,0.3676,0.5306,0.4402,0.3756,0.3282,0.2948,0.5166,0.4624,0.3884,0.3182,0.185,0.5998,0.5942,0.5658,0.4696,0.2262,0.4178,0.3912,0.3472,0.2898,0.206,0.568,0.49,0.4006,0.327,0.2802,0.5816,0.5726,0.5324,0.412,0.4162,0.5832,0.5802,0.576,0.5346,0.519,0.4384,0.4298,0.4004,0.354,0.2752,0.5108,0.4966,0.4704,0.4284,0.3764,0.4288,0.3504,0.2796,0.2236,0.1842,0.3314,0.2684,0.216,0.1814,0.1638
Geirhos2018_SIN_IN,0.6656,0.6372,0.6046,0.5744,0.5466,0.664,0.6078,0.5444,0.493,0.4514,0.6348,0.5698,0.4848,0.401,0.2432,0.7138,0.71,0.6798,0.5668,0.262,0.5268,0.4854,0.4372,0.3632,0.262,0.6556,0.529,0.423,0.329,0.2666,0.7032,0.6906,0.6442,0.517,0.5156,0.707,0.7058,0.6956,0.645,0.6226,0.5312,0.5078,0.4562,0.375,0.244,0.595,0.5676,0.53,0.4746,0.374,0.5464,0.4496,0.3608,0.2946,0.238,0.4652,0.3864,0.3258,0.2728,0.2432
Geirhos2018_SIN_IN_IN,0.6774,0.6444,0.6148,0.5818,0.5548,0.6816,0.6204,0.557,0.5002,0.4556,0.6492,0.579,0.4924,0.4158,0.2522,0.7384,0.7276,0.6852,0.5376,0.232,0.5126,0.4718,0.4194,0.3492,0.2466,0.677,0.539,0.4214,0.3324,0.2566,0.7234,0.7098,0.6572,0.5146,0.5214,0.7232,0.7204,0.7076,0.6642,0.6384,0.4486,0.4064,0.3286,0.2314,0.1092,0.5746,0.5438,0.5016,0.4428,0.3278,0.539,0.4228,0.3294,0.2542,0.202,0.4742,0.4042,0.3396,0.2806,0.2552
Erichson2022NoisyMix,0.699,0.6734,0.644,0.616,0.5874,0.7036,0.65,0.5974,0.548,0.5128,0.6712,0.6062,0.5222,0.449,0.279,0.7478,0.7422,0.7216,0.639,0.3902,0.5562,0.5218,0.4716,0.3998,0.2928,0.7098,0.5984,0.48,0.3888,0.3146,0.738,0.7268,0.6894,0.5906,0.5974,0.7414,0.739,0.728,0.696,0.6752,0.6084,0.5968,0.5626,0.5086,0.4138,0.634,0.6124,0.5898,0.532,0.4316,0.6062,0.5174,0.4248,0.3468,0.2886,0.548,0.4818,0.4154,0.3628,0.3352
